Domains,Properties,,Ranges,Type,"definition xml:lang=""zh""","comment xml:lang=""zh""",URI,isDefinedBy,versionInfo,seeAlso,equivalentProperty,characteristics
类,属性,,取值,1表示取值数值，2表示类,,,,,,,,
雷达,基本信息,,,,,,,,,,,
雷达,,名称,,1,,,,,,,,
雷达,,国别,,1,,,,,,,,
雷达,,研制厂商,,1,,,,,,,,
雷达,,相关型号,,2,,,,,,,,
雷达,,研发时间,,1,,,,,,,,
雷达,,研制状况,,1,,,,,,,,
雷达,,装备时间,,1,,,,,,,,
雷达,,装备情况,,1,,,,,,,,
雷达,,销售情况,,1,,,,,,,,
雷达,,现状,,1,,,,,,,,
雷达,,用途,,1,,,,,,,,
雷达,,特点,,1,,,,,,,,
雷达,战术参数,,,,,,radaro:TacticleParameter,radaro,1,,,
雷达,,探测空域,,1,,,radaro:airspace,radaro,1,,,
雷达,,目标参数测量,,1,,,radaro:TargetMeasurement,radaro,1,,,
雷达,,观察目标数目,,1,,,radaro:ResolutionPower,radaro,1,,,
雷达,,跟踪目标个数,,1,,,radaro:TargetAccuracy,radaro,1,,,
雷达,,分辨力,,1,,,radaro:AntiJam,radaro,1,,,
雷达,,测量精度,,2,,,,,,,,
雷达,,目标参数录取能力,,1,,,,,,,,
雷达,,抗干扰能力,,1,,,,,,,,
雷达,,积极的对抗能力,,1,,,,,,,,
雷达,,对抗管理和控制,,1,,,,,,,,
雷达,,可靠性,,1,,,,,,,,
雷达,,可维护性,,1,,,,,,,,
雷达,,体积,,1,,,,,,,,
雷达,,质量,,1,,,,,,,,
雷达,,功耗,,1,,,,,,,,
雷达,,工作环境,,1,,,,,,,,
雷达,,机动性,,1,,,,,,,,
雷达,,抗轰炸能力,,1,,,,,,,,
雷达,,抗核爆能力,,1,,,,,,,,
雷达,,,,,,,,,,,,
雷达,技术参数,,,,,,radaro:TechnicalParameter,radaro,1,,,
雷达,,脉冲参数,,2,,,,,,,,
雷达,,天线参数,,2,,,,,,,,
雷达,,发射机参数,,2,,,,,,,,
雷达,,接收机参数,,2,,,,,,,,
雷达,,抗干扰技术,,2,,,,,,,,
雷达,,测角方式,,1,,,,,,,,
雷达,,雷达信号处理,,1,,,,,,,,
雷达,,雷达数据处理能力,,1,,,,,,,,
雷达,,跟踪能力,,1,,,,,,,,
雷达,,二次解算能力,,1,,,,,,,,
雷达,,数据变换能力,,1,,,,,,,,
雷达,,输入输出能力,,1,,,,,,,,
雷达,,对抗管理和控制,,1,,,,,,,,
雷达,,目标参数录取方式,,1,,,,,,,,
雷达,,显示器,,1,,,,,,,,
雷达,,标准化,,1,,,,,,,,
雷达,,故障检测能力,,1,,,,,,,,
雷达,,功耗,,1,,,,,,,,
雷达,,工作环境,,1,,,,,,,,
雷达,组成,,,,,,,,,,,
雷达,,雷达系统,,2,,,,,,,,
雷达,,雷达抗干扰技术措施库,,2,,,,,,,,
雷达,,积极的干扰信号源库,,2,,,,,,,,
雷达,,电磁环境侦查接收机,,2,,,,,,,,
雷达,,对抗控制管理系统,,2,,,,,,,,
雷达系统,组成,,,,,,,,,,,
雷达系统,,主振信号源,,,,,,,,,,
雷达系统,,定时器,,,,,,,,,,
雷达系统,,频率合成器,,,,,,,,,,
雷达系统,,主振功率放大链发射机,,,,,,,,,,
雷达系统,,收发开关,,,,,,,,,,
雷达系统,,天线,,,,,,,,,,
雷达系统,,接收机,,,,,,,,,,
雷达系统,,数字信号处理机,,,,,,,,,,
雷达系统,,数字数据处理机,,,,,,,,,,
雷达系统,,终端显示器,,,,,,,,,,
雷达系统,,天线伺服系统,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
天线参数,,形式,,2,,,,,,,,
天线参数,,反射面尺寸,,1,,,,,,,,
天线参数,,主波束增益,,1,,,,,,,,
天线参数,,第一副瓣电平,,1,,,,,,,,
天线参数,,平均副瓣电平,,1,,,,,,,,
天线参数,,波束形状,,1,,,,,,,,
天线参数,,主波束宽度,,1,,,,,,,,
天线参数,,扫描方式,,1,,,,,,,,
天线参数,,扫描周期,,1,,,,,,,,
发射机参数,,峰值功率,,,,,,,,,,
发射机参数,,平均功率,,,,,,,,,,
发射机参数,,脉宽功率放大链总增益,,,,,,,,,,
发射机参数,,发射机末级功率,,,,,,,,,,
发射机参数,,发射机总效率,,,,,,,,,,
接收机参数,,接收机灵敏度,,,,,,,,,,
接收机参数,,噪声温度,,,,,,,,,,
接收机参数,,接收机动态范围,,,,,,,,,,
抗干扰技术,,天线,,,,,,,,,,
抗干扰技术,,接收机,,,,,,,,,,
抗干扰技术,,数字信号处理机,,,,,,,,,,
抗干扰技术,,数字数据处理机,,,,,,,,,,
抗干扰技术,,保护通道,,,,,,,,,,
抗干扰技术,,积极主动干扰库,,,,,,,,,,
