Properties,,Domains,Ranges,"label xml:lang=""en""","label xml:lang=""zh""","definition xml:lang=""zh""","comment xml:lang=""zh""",URI,isDefinedBy,versionInfo,seeAlso,equivalentProperty,characteristics
date,,owl:Thing,xsd:date,date,日期,,,radaro:date,radaro,1,,,
,equipDate,radaro:Facility,,equipDate,装备日期,,,radaro:equipDate,radaro,1,,,
duration,,owl:Thing,xsd:duration,duration,间隔,,,radaro:duration,radaro,1,,,
,developDuration,radaro:Facility,,developDuration,研发起止时间,,,radaro:developDuration,radaro,1,,,
weight,,owl:Thing,xsd:decimal,weight,质量,,单位为kg,radaro:weight,radaro,1,,,
height,,owl:Thing,xsd:decimal,height,高度,,单位为m,radaro:height,radaro,1,,,
width,,owl:Thing,xsd:decimal,width,宽度,,单位为m,radaro:width,radaro,1,,,
power,,radaro:Facility,xsd:decimal,power,功率,,单位为W,radaro:power,radaro,1,,,
targetNum,,radaro:Radar,xsd:nonNegetiveInteger,targetNum,观测目标数,,单位为个,radaro:targetNum,radaro,1,,,
resolution,,radaro:Radar,xsd:decimal,resolution,分辨能力,,单位为m,radaro:resolution,radaro,1,,,
,radarResolution,radaro:ResolutionPower,xsd:decimal,radarResolution,雷达分辨力,,,radaro:radarResolution,,,,,
,rangeResolution,radaro:ResolutionPower,xsd:decimal,rangeResolution,距离分辨力,,单位为m,radaro:rangeResolution,,,,,
,azimuthResolution,radaro:ResolutionPower,xsd:decimal,azimuthResolution,方位分辨力,,单位度,radaro:azimuthResolution,,,,,
,velocityResolution,radaro:ResolutionPower,xsd:decimal,velocityResolution,速度分辨力,,单位m/s,radaro:velocityResolution,,,,,
workingFrequency,,radaro:Radar,xsd:decimal,workingFrequency,工作频率,,单位为Hz,radaro:workingFrequency,radaro,1,,,
,minWorkingFrequency,,,minWorkingFrequency,最低工作频率,,,radaro:minWorkingFrequency,radaro,1,,,
,maxWorkingFrequency,,,maxWorkingFrequency,最高工作频率,,,radaro:maxWorkingFrequency,radaro,1,,,
tacticleParameter,,radaro:Radar,xsd:string,tacticleParameter,战术参数,,,radaro:TacticleParameter,radaro,1,,,
,airspace,radaro:Radar,xsd:string,airspace,探测空域,,,radaro:airspace,radaro,1,,,
,TargetMeasurement,radaro:Radar,xsd:string,TargetMeasurement,目标参数测量,,,radaro:TargetMeasurement,radaro,1,,,
,ResolutionPower,radaro:Radar,xsd:string,ResolutionPower,分辨力,,,radaro:ResolutionPower,radaro,1,,,
,TargetAccuracy,radaro:Radar,xsd:string,TargetAccuracy,目标参数测量精度,,,radaro:TargetAccuracy,radaro,1,,,
,AntiJam,radaro:Radar,xsd:string,AntiJam,抗干扰能力,,,radaro:AntiJam,radaro,1,,,
TechnicalParameter,,radaro:Radar,xsd:string,TechnicalParameter,技术参数,,,radaro:TechnicalParameter,radaro,1,,,
,WorkingFrequency,radaro:Radar,xsd:string,WorkingFrequency,工作频率,,,radaro:WorkingFrequency,radaro,1,,,
,PulsePower,radaro:Radar,xsd:string,PulsePower,脉冲功率,,,radaro:PulsePower,radaro,1,,,
,SignalParameter,radaro:Radar,xsd:string,SignalParameter,脉冲信号参数,,,radaro:SignalParameter,radaro,1,,,
,AntennaParameter,radaro:Radar,xsd:string,AntennaParameter,天线参数,,,radaro:AntennaParameter,radaro,1,,,
