Classes,Individuals,"label lang=""zh""",URI,"comment lang=""zh"""
radaro:RadarWorkMode,MCW,调制连续波形,radaro:RadarWorkMode/MCW,
radaro:RadarWorkMode,PulseDoppler,脉冲多普勒,radaro:RadarWorkMode/PulseDoppler,
radaro:FrequencyBand,X,X波段,radaro:FrequencyBand/X,根据IEEE 521-2002标准，X波段是指频率在8-12 GHz的无线电波波段
radaro:FrequencyBand,L,L波段,radaro:FrequencyBand/L,根据IEEE 521-2002标准，L波段是指频率在1-2 GHz的无线电波波段
radaro:FacilityStatus,developing,研发中,radaro:FacilityStatus/developing,
radaro:FacilityStatus,serving,服役中,radaro:FacilityStatus/serving,
radaro:FacilityStatus,retired,已退役,radaro:FacilityStatus/retired,
radaro:PlaneType,helicopter,直升机,radaro:PlaneType/helicopter,
radaro:PlaneType,awacs,预警机,radaro:PlaneType/awacs,
radaro:PlaneType,spy,侦察机,radaro:PlaneType/spy,
radaro:RadarSystemComponent,Radar,雷达,,
radaro:RadarSystemComponent,,雷达抗干扰技术措施库,,
radaro:RadarSystemComponent,,积极的干扰信号源库,,
radaro:RadarSystemComponent,,电磁环境侦查接收机,,
radaro:RadarSystemComponent,,雷达对抗控制管理系统,,
radaro:RadarComponent,,天线伺服系统,,
radaro:RadarComponent,,接收器,,
radaro:RadarComponent,,信号处理机,,
radaro:RadarComponent,,数据处理机,,
radaro:RadarComponent,,雷达终端,,
radaro:RadarComponent,,定时器,,
radaro:RadarComponent,,主振频率源,,
radaro:RadarComponent,,频率合成器,,
